Target device: xilinx_u250_gen3x16_xdma_shell_4_1-0
timestamp,12v_aux_curr,12v_aux_vol,12v_pex_curr,12v_pex_vol,vccint_curr,vccint_vol,3v3_pex_curr,3v3_pex_vol,cage_temp0,cage_temp1,cage_temp2,cage_temp3,dimm_temp0,dimm_temp1,dimm_temp2,dimm_temp3,fan_temp,fpga_temp,hbm_temp,se98_temp0,se98_temp1,se98_temp2,vccint_temp,fan_rpm
6191.69,1037,12238,1347,12161,12216,850,0,3347,0,0,0,0,28,31,35,31,35,38,0,34,28,32,42,0,
6212.14,1041,12229,1349,12138,12258,851,0,3349,0,0,0,0,28,31,35,31,34,38,0,34,28,32,42,0,
6233.56,1041,12229,1349,12138,12258,851,0,3349,0,0,0,0,28,31,35,31,34,38,0,34,28,32,42,0,
6254.19,1041,12229,1349,12138,12258,851,0,3349,0,0,0,0,28,31,35,31,34,38,0,34,28,32,42,0,
6274.59,1041,12229,1349,12138,12258,851,0,3349,0,0,0,0,28,31,35,31,34,38,0,34,28,32,42,0,
6294.99,1041,12229,1349,12138,12258,851,0,3349,0,0,0,0,28,31,35,31,34,38,0,34,28,32,42,0,
6315.41,1041,12229,1349,12138,12258,851,0,3349,0,0,0,0,28,31,35,31,34,38,0,34,28,32,42,0,
6335.8,1041,12229,1349,12138,12258,851,0,3349,0,0,0,0,28,31,35,31,34,38,0,34,28,32,42,0,
6356.2,1041,12229,1349,12138,12258,851,0,3349,0,0,0,0,28,31,35,31,34,38,0,34,28,32,42,0,
6376.59,1041,12229,1349,12138,12258,851,0,3349,0,0,0,0,28,31,35,31,34,38,0,34,28,32,42,0,
6396.98,1041,12229,1349,12138,12258,851,0,3349,0,0,0,0,28,31,35,31,34,38,0,34,28,32,42,0,
6417.38,1041,12229,1349,12138,12258,851,0,3349,0,0,0,0,28,31,35,31,34,38,0,34,28,32,42,0,
6437.81,1041,12229,1349,12138,12258,851,0,3349,0,0,0,0,28,31,35,31,34,38,0,34,28,32,42,0,
6458.2,1041,12229,1349,12138,12258,851,0,3349,0,0,0,0,28,31,35,31,34,38,0,34,28,32,42,0,
6478.6,1041,12229,1349,12138,12258,851,0,3349,0,0,0,0,28,31,35,31,34,38,0,34,28,32,42,0,
6498.99,1041,12229,1349,12138,12258,851,0,3349,0,0,0,0,28,31,35,31,34,38,0,34,28,32,42,0,
6519.39,1041,12229,1349,12138,12258,851,0,3349,0,0,0,0,28,31,35,31,34,38,0,34,28,32,42,0,
6539.78,1041,12229,1349,12138,12258,851,0,3349,0,0,0,0,28,31,35,31,34,38,0,34,28,32,42,0,
6560.18,1041,12229,1349,12138,12258,851,0,3349,0,0,0,0,28,31,35,31,34,38,0,34,28,32,42,0,
6580.58,1041,12229,1349,12138,12258,851,0,3349,0,0,0,0,28,31,35,31,34,38,0,34,28,32,42,0,
6600.98,1041,12229,1349,12138,12258,851,0,3349,0,0,0,0,28,31,35,31,34,38,0,34,28,32,42,0,
6621.37,1041,12229,1349,12138,12258,851,0,3349,0,0,0,0,28,31,35,31,34,38,0,34,28,32,42,0,
6641.76,1041,12229,1349,12138,12258,851,0,3349,0,0,0,0,28,31,35,31,34,38,0,34,28,32,42,0,
6662.19,1041,12229,1349,12138,12258,851,0,3349,0,0,0,0,28,31,35,31,34,38,0,34,28,32,42,0,
6682.58,1041,12229,1349,12138,12258,851,0,3349,0,0,0,0,28,31,35,31,34,38,0,34,28,32,42,0,
6702.97,1041,12229,1349,12138,12258,851,0,3349,0,0,0,0,28,31,35,31,34,38,0,34,28,32,42,0,
6723.36,1041,12229,1349,12138,12258,851,0,3349,0,0,0,0,28,31,35,31,34,38,0,34,28,32,42,0,
6743.75,1041,12229,1349,12138,12258,851,0,3349,0,0,0,0,28,31,35,31,34,38,0,34,28,32,42,0,
6764.15,1041,12229,1349,12138,12258,851,0,3349,0,0,0,0,28,31,35,31,34,38,0,34,28,32,42,0,
6784.54,1041,12229,1349,12138,12258,851,0,3349,0,0,0,0,28,31,35,31,34,38,0,34,28,32,42,0,
6804.94,1041,12229,1349,12138,12258,851,0,3349,0,0,0,0,28,31,35,31,34,38,0,34,28,32,42,0,
6825.32,1041,12229,1349,12138,12258,851,0,3349,0,0,0,0,28,31,35,31,34,38,0,34,28,32,42,0,
6845.86,1041,12229,1349,12138,12258,851,0,3349,0,0,0,0,28,31,35,31,34,38,0,34,28,32,42,0,
6866.29,1041,12229,1349,12138,12258,851,0,3349,0,0,0,0,28,31,35,31,34,38,0,34,28,32,42,0,
6886.82,1041,12229,1349,12138,12258,851,0,3349,0,0,0,0,28,31,35,31,34,38,0,34,28,32,42,0,
6907.84,1041,12229,1349,12138,12258,851,0,3349,0,0,0,0,28,31,35,31,34,38,0,34,28,32,42,0,
6928.85,1041,12229,1349,12138,12258,851,0,3349,0,0,0,0,28,31,35,31,34,38,0,34,28,32,42,0,
6949.9,1041,12229,1349,12138,12258,851,0,3349,0,0,0,0,28,31,35,31,34,38,0,34,28,32,42,0,
6970.88,1041,12229,1349,12138,12258,851,0,3349,0,0,0,0,28,31,35,31,34,38,0,34,28,32,42,0,
6991.92,1041,12229,1349,12138,12258,851,0,3349,0,0,0,0,28,31,35,31,34,38,0,34,28,32,42,0,
7012.96,1041,12229,1349,12138,12258,851,0,3349,0,0,0,0,28,31,35,31,34,38,0,34,28,32,42,0,
7033.97,1041,12229,1349,12138,12258,851,0,3349,0,0,0,0,28,31,35,31,34,38,0,34,28,32,42,0,
7054.88,1041,12229,1349,12138,12258,851,0,3349,0,0,0,0,28,31,35,31,34,38,0,34,28,32,42,0,
10191.6,1042,12246,1352,12152,12192,850,0,3347,0,0,0,0,27,31,35,31,35,38,0,34,28,32,42,0,
10355.9,1042,12246,1352,12152,12192,850,0,3347,0,0,0,0,27,31,35,31,35,38,0,34,28,32,42,0,
10377.1,1042,12246,1352,12152,12192,850,0,3347,0,0,0,0,27,31,35,31,35,38,0,34,28,32,42,0,
10398.3,1042,12246,1352,12152,12192,850,0,3347,0,0,0,0,27,31,35,31,35,38,0,34,28,32,42,0,
10419.4,1042,12246,1352,12152,12192,850,0,3347,0,0,0,0,27,31,35,31,35,38,0,34,28,32,42,0,
